Exporters	Imported value in 2001	Imported value in 2002	Imported value in 2003	Imported value in 2004	Imported value in 2005	Imported value in 2006	Imported value in 2007	Imported value in 2008	Imported value in 2009	Imported value in 2010	Imported value in 2011	Imported value in 2012	Imported value in 2013	Imported value in 2014	Imported value in 2015	Imported value in 2016	Imported value in 2017	Imported value in 2018	Imported value in 2019	Imported value in 2020	
"World"	12820352	12689965	13880613	17099537	21204162	26162440	32897045	39668840	32897671	40682508	54674822	58087854	59381197	64027610	54057599	44889367	46075705	51232805	50413025	43488662	
"United States of America"	4442775	4051198	4112710	4806760	6033241	6960605	8631115	11583019	9505791	10531813	13663338	14140116	16428423	18256281	15583375	11946833	12096143	13075918	12832603	10634174	
"China"	475405	532847	688673	1244730	1616821	2219273	3326574	4548798	3715170	5477428	8176440	9564690	10362788	11790385	10032489	8631421	8754463	10544729	10483257	10398882	
"Mexico"	596168	677990	744375	935642	1757068	2290571	3072565	3125980	2297888	3856674	6059027	6362176	5495958	5272632	3852940	3410737	3436895	3947394	3698549	2925827	
"Brazil"	582060	642840	769003	1352172	1383387	1884885	2393940	2328416	2146578	2369637	2740248	2795908	2590480	2465559	2084310	2117351	2286013	2828205	3033232	2435489	
"Germany"	560090	508304	611672	686601	773661	933215	1204874	1557401	1338394	1657634	2215150	2239577	2206909	2530978	2267454	1707682	1873998	2173253	2094922	1643891	
"France"	350436	236463	382398	289997	386102	429735	541187	928788	1514311	1182124	1819195	1154134	1446171	1853550	1918695	828751	949447	1172906	1334400	958543	
"India"	72753	88174	112899	184296	247930	346411	475843	528795	503822	686257	975629	1123796	1143843	1368797	1199232	945901	1042052	1183435	1119860	936990	
"Japan"	558975	619438	642870	695164	705315	944573	1230829	1152717	825386	1156643	1437709	1654100	1478804	1525446	1227454	1115630	1231264	1288565	1174321	879124	
"Spain"	246714	260378	255462	268812	333314	387240	455753	567613	441576	501562	613706	775851	963310	966858	915251	918494	967440	991618	977257	798063	
"Ecuador"	318226	367199	409667	380083	529001	696929	732792	809616	694567	834936	1065846	1068475	881687	918292	783083	804784	715385	811934	803506	789902	
"Canada"	344223	274109	313530	384467	389315	500650	648804	795319	675074	823442	959745	1132704	1001227	1164632	877155	766845	791065	845634	810604	751137	
"Argentina"	202282	211116	257105	321294	411711	585828	712280	920378	1042724	1509263	1871900	2312510	1733545	1009334	501488	510921	551333	732076	973894	724462	
"Peru"	159240	160310	193370	244672	350106	517428	607676	731529	623286	786249	1024539	911955	870181	1204811	937226	682253	662591	750652	711879	680947	
"Italy"	401029	275704	289940	302358	331602	394849	520235	607753	538954	640643	794190	948463	1010629	982272	823697	762269	755247	826897	786648	679209	
"Korea, Republic of"	266271	311502	337783	506908	593716	760698	896932	919820	679713	940500	1233977	1288116	1296408	1500478	1155364	888904	791519	819273	656612	676375	
"Viet Nam"	5371	4857	5055	6902	12146	26318	42491	65884	61464	94058	169783	220897	316051	437822	491169	470732	556991	508884	623256	622569	
"Chile"	262486	280834	299859	341322	377144	512283	660597	705723	589753	736503	901631	954381	903839	929208	780651	721052	695262	726098	622790	604477	
"Free Zones"	0	0	96207	0	132575	177794	1172127	1278945	1022154	1306675	478682	577287	83612	117684	767066	905110	1355054	938176	777613	444593	
"United Kingdom"	179557	149678	164271	209978	190260	233888	269047	346072	269617	416369	446488	560647	510895	598481	536137	415618	462653	526072	581266	441133	
"Switzerland"	159071	147922	171440	148821	209027	248579	340543	382775	374967	411369	462398	507353	508816	519237	433289	387037	413047	462398	431386	381056	
"Taipei, Chinese"	166381	161786	164458	163742	226821	277133	304892	376586	294173	339265	500129	553631	557203	620253	523143	432826	417698	425758	392013	349654	
"Bolivia, Plurinational State of"	131210	139917	198373	175446	191706	117191	143079	229044	244961	268832	167038	280569	547740	551616	432416	534156	353309	330429	392589	327000	
"Colombia"	0	0	209002	0	410383	623828	0	0	0	0	1301941	1254079	937381	1087780	838329	603935	366571	416353	417723	304949	
"Turkey"	11854	10750	11933	13719	19801	23911	35596	60600	48623	56753	124307	175046	168757	204698	239944	237163	240286	320800	318437	257946	
"Netherlands"	85302	79515	103491	133466	167780	290553	301038	336440	250814	319570	311055	271359	326759	294209	359376	311302	291190	245986	255557	250989	
"Thailand"	53045	52790	54148	87820	89840	128848	203550	296403	227814	396136	417924	332556	309200	343642	297483	291248	294847	322037	284049	248531	
"Belgium"	74791	81646	86687	96033	93574	124027	131748	137346	160508	161745	223386	299468	294813	260327	223646	201877	239234	262943	273775	235742	
"Russian Federation"	49073	82108	42870	81721	138845	118402	108339	204576	162620	182485	246431	398486	304663	404168	403815	255772	285703	310635	229764	230704	
"Ireland"	40962	38696	42301	67539	58087	55313	64030	66519	81781	104147	130115	139184	142556	175763	177257	151884	158882	157549	202194	200600	
"Indonesia"	62920	60129	58722	59586	103794	117957	134248	128555	106859	122927	198409	258731	219999	226155	218387	181258	186064	210245	201618	183801	
"Sweden"	133582	63442	73878	88379	108437	136942	137091	170213	126041	151040	262545	191073	167511	155967	141959	131903	151736	151950	143297	177942	
"Malaysia"	33210	34865	61915	82746	74684	139696	160542	173916	107675	139171	214360	204405	198370	225744	170125	162555	171516	201952	203927	177038	
"Denmark"	32758	31235	29393	21680	30250	46117	44581	78046	51507	67863	83498	94595	133384	124031	124030	111965	107144	128639	129995	121105	
"Austria"	28667	33592	41307	42869	58765	104822	107515	133575	98657	120285	162914	159734	183097	181157	175248	141544	171529	149855	147499	116984	
"Singapore"	35232	31181	33641	46713	52818	61514	54558	65847	56615	86811	111793	135769	112504	146150	95748	95580	111556	106102	147729	115573	
"Trinidad and Tobago"	33975	24688	33576	41003	177223	93428	309773	298688	176343	374373	584021	504706	446924	457817	246124	120203	75207	119178	112667	112065	
"Romania"	6277	5529	6344	0	2743	9226	4440	24192	20120	8278	17955	33741	25193	31827	26955	102938	153135	183884	165625	105381	
"Hungary"	9203	4979	3391	19095	40986	12446	13236	16754	12899	16693	24162	29604	53016	65497	65708	65165	90636	81497	129889	83418	
"Poland"	12495	12034	15450	24004	20732	30361	30899	26708	21929	21496	37960	37415	90535	131872	90165	121354	92969	108204	113262	83000	
"Finland"	57333	51995	58241	58353	273784	219936	160903	216073	130568	147159	125879	127807	189979	149322	107420	93887	144288	139572	106840	81823	
"Israel"	54736	76817	72165	63002	99401	136956	164686	168655	214888	268429	147963	160501	236556	328207	165447	142671	128570	103052	84318	78425	
"Czech Republic"	9209	10555	10751	39561	15922	16151	21813	19606	17815	22322	36961	38692	49597	57378	67290	59268	59128	66545	85511	74967	
"United Arab Emirates"	350	312	744	698	936	1432	1858	16825	9316	9590	42448	32554	9600	17644	41998	11965	18111	21135	48278	68858	
"Uruguay"	22424	22602	21061	18799	27517	31386	39599	44023	45442	59080	60105	81491	64873	78512	73919	104328	64828	68407	62442	65645	
"Costa Rica"	14857	15792	18874	19096	25139	35670	38421	54212	33644	52418	57580	71812	83375	92188	86499	83607	63051	68993	66038	61896	
"Portugal"	6148	7706	6055	7255	6842	35700	12743	30607	12664	29161	52255	58711	58207	100278	89268	90571	66820	70088	61677	61866	
"Slovakia"	3686	3245	3912	3655	3578	4339	3641	9212	19924	13415	15771	19417	25149	36157	28533	21899	21310	73990	90780	59869	
"Bangladesh"	301	358	229	1241	483	1009	2352	3499	4297	6121	14469	20935	32034	34685	32404	36293	54333	78987	81154	54513	
"Hong Kong, China"	42262	45630	37827	22953	48109	57962	84897	102401	60950	70283	77685	95920	102400	80873	59741	49692	49922	58874	48527	50924	
"Dominican Republic"	1614	3053	2631	3371	3184	8290	9590	10817	10363	21322	25475	30745	46904	52836	48913	38204	47305	45127	50118	45640	
"Morocco"	903	2627	2449	5011	9248	7777	13123	28785	17019	25622	36895	36994	50662	46568	33756	38970	42954	39512	31754	39720	
"Belarus"	0	0	14047	60	21	4714	53	30188	37067	12129	40879	10225	5372	641	3226	10933	25728	41707	36640	38442	
"Ukraine"	21222	14869	26343	54315	56918	49656	55159	85505	41315	44668	72241	92917	64197	63347	36923	48206	45044	88206	38436	37393	
"Guatemala"	10990	8822	11681	14100	15080	20634	25060	38386	35279	52244	55062	51179	39225	51018	66643	60930	61685	32222	35320	34897	
"Australia"	20009	21330	47997	31838	22259	24485	27261	51473	53436	35919	53686	53128	63858	44342	44648	45476	43398	50233	41092	34040	
"Pakistan"	12606	9575	7477	5954	20586	34121	43801	36950	34395	44244	61990	68325	58239	63719	53610	41841	45239	48834	47860	32980	
"Philippines"	5439	7206	7204	15765	10199	12748	13136	11785	8359	12456	22183	41703	47552	58778	44220	39500	43249	47025	48629	31301	
"Venezuela, Bolivarian Republic of"	792685	788051	727417	1052138	1219124	1497616	1365956	1198107	563396	304746	563096	526819	431055	439755	292118	189875	219814	136970	43762	27556	
"Paraguay"	45060	70546	66460	60257	10664	15073	20184	9044	22376	27740	82117	92194	84009	56501	33566	27365	11448	13737	17734	26463	
"Honduras"	1949	6326	11639	4178	5566	3374	3787	7262	3897	24050	22012	9037	24775	39985	24225	25490	13987	44768	15009	25764	
"Norway"	33850	12057	12686	17078	18046	20169	24020	54413	34594	27328	52766	41724	53449	47318	53436	33910	31796	30070	29959	24392	
"Algeria"	74	44	0	5	1	7	356	15	27	75	25	25660	50	13	17243	1	24	17353	18724	23752	
"Panama"	58747	41204	21572	28660	62526	92143	139090	156258	160366	180078	122885	74562	59188	55684	93149	31367	51397	50105	62491	22679	
"Cambodia"	33	31	24	49	149	126	378	794	984	2491	5751	6549	10532	12848	15500	18095	23381	27901	26323	22296	
"Bahrain"	2402	2606	875	1340	192	3052	2183	121	563	113	307	49	69	1005	7444	5123	16957	17378	15464	21574	
"Saudi Arabia"	618	1055	3408	1028	4791	3150	1987	7724	9323	19827	39512	54265	62216	63298	53691	35149	36854	44455	31275	20181	
"Sri Lanka"	3315	3382	3363	4564	4025	5512	6757	7922	7457	7547	14672	14048	17709	18291	17223	17576	19607	20872	18723	19444	
"South Africa"	26624	39651	50399	0	42012	36657	39014	46451	27936	35511	47941	43361	46699	41715	36685	29534	34010	26610	31130	19404	
"Lithuania"	2044	5405	4550	1153	755	4168	25501	29411	19583	54995	79720	53152	22362	4297	3071	6947	3626	5715	13059	17139	
"Greece"	2321	1426	2144	1497	5666	1236	3749	3858	3848	1654	6150	10821	12405	21056	10667	13858	15305	12228	16399	16899	
"Slovenia"	5367	5046	4257	3245	3626	4785	9006	9203	11339	6097	17141	9331	13609	16289	17542	19634	21573	17110	17767	16052	
"Egypt"	1335	1394	1875	2718	3434	4346	5066	11158	5938	10240	7839	10576	26755	10661	11101	9925	17840	11714	12725	11101	
"New Zealand"	12283	9187	2979	11253	3036	4921	6696	8304	5516	6561	7975	8283	11667	12071	8693	8600	14680	8997	9657	10914	
"El Salvador"	1173	1034	674	733	1032	2598	5655	3184	3312	6262	6074	9058	16589	15816	13836	13838	12397	10464	9589	8714	
"Myanmar"	13	9	0	19	25	38	71	181	57	455	1058	26	171	139	127	554	2959	5399	9211	8634	
"Bulgaria"	2888	6487	7762	6683	9106	7114	7822	8019	4431	9193	8120	8468	7987	9112	13915	7593	8269	14272	19481	8343	
"Bahamas"	123	100	324	9	33	3	547	308	137	60	28	0	39762	43071	2197	11606	5	7	13496	7563	
"Côte d'Ivoire"	496	530	1063	578	459	1233	843	672	688	84	33	176	15663	2860	977	2582	1491	6038	3615	7059	
"Nicaragua"	1366	72	238	830	1398	25123	2902	7461	6412	4502	9016	15435	10730	10002	10713	8533	6249	8562	8967	6323	
"Luxembourg"	1284	718	1299	823	2803	1996	3075	4597	2614	6233	4375	7402	9680	11738	7430	6353	9747	13712	8144	6317	
"Croatia"	385	111	193	457	4346	532	3051	9408	262	1272	1091	1089	7862	8328	85354	5112	32256	1153	1061	6205	
"Oman"	2	63	46	27	13	341	8	110	38	108	100	8	1161	5366	16264	1392	5065	5647	21787	5996	
"Latvia"	1	1841	15422	11401	9318	2006	10656	11474	7307	13826	19658	23767	2065	2246	2390	2806	3157	3490	3959	5550	
"Tunisia"	305	154	234	678	317	471	582	901	3065	5788	4697	8525	7041	5548	4068	4309	4820	5382	4554	4096	
"Haiti"	66	6	51	14	460	425	6744	204	961	78	28	91	318	194	181	230	372	3961	12433	3989	
"Guyana"	865	236	95	1276	1159	1041	984	1202	889	2015	2613	8076	4931	949	1475	1583	855	1400	2421	3535	
"Seychelles"	1	0	0	54	0	0	0	7254	0	80	65	63	75	136	248	32	1953	3543	2218	3283	
"Cuba"	13466	3942	4696	5887	5515	4071	8626	19735	8243	7334	8198	29096	31149	13960	3060	3501	8023	2238	4076	3186	
"Estonia"	141	1961	72	151	7261	2818	1792	3277	2545	1191	4057	3802	5760	2810	2775	1993	4080	2989	2947	3038	
"Cyprus"	14	39	31	23	53	42	103	1578	42	84	520	667	1643	573	32	91	911	546	1803	2549	
"Georgia"	36	20	4	8	7	70	751	187	4309	1201	752	11184	2853	3270	1838	2214	1269	4028	4139	2348	
"Malta"	75	44	43	146	862	409	168	400	1164	1021	1084	1393	1175	1630	1800	851	1159	2133	2755	2133	
"Kenya"	117	107	1573	9938	96	268	0	161	1124	1358	1126	1245	1212	1817	1827	1780	1745	2331	2233	1983	
"Bosnia and Herzegovina"	559	126	117	531	528	93	37	101	8573	241	692	973	882	845	1213	1038	615	1830	1854	1716	
"Jordan"	38	20	43	34	107	401	600	813	785	917	1318	1175	2219	3378	3221	2700	2925	2350	3419	1489	
"Lao People's Democratic Republic"	23	60	22	19	62	16	16	36	100	65	97	164	136	162	84	54	154	794	3068	1251	
"Qatar"	259	69	328	89	565	1113	6038	1884	312	2054	4116	6437	5592	15879	5767	11559	5882	9326	1263	1142	
"Iran, Islamic Republic of"	254	411	1060	706	425	660	3141	1115	425	2977	4747	19285	1198	513	346	1018	811	793	339	1052	
"Senegal"	1	0	0	1440	11	3080	8963	8689	852	1606	1447	11350	662	15	89	4117	2559	7266	7215	886	
"Mauritania"	6	4	1	27	13	47	219	46	10	8	92	27	78	4	22	0	0	443	479	878	
"Kazakhstan"	72	5273	3963	1184	624	607	8027	1687	2544	2735	1952	184	2726	2877	2954	2460	2542	3626	4089	857	
"Iceland"	196	325	362	243	205	657	1923	1420	1093	1211	908	1883	1081	1308	2079	617	1412	853	1182	845	
"Tanzania, United Republic of"	183	102	48	12	42	48	137	699	51	334	0	163	453	9905	432	663	172	298	16	835	
"Ghana"	110	26	17	114	10	49	11	1092	2	253	125	297	2773	1138	32	286	29	9325	2238	699	
"Serbia"	0	0	0	0	0	829	1302	113	38	390	2220	1082	2025	2562	2026	1752	557	164	529	639	
"Korea, Democratic People's Republic of"	5773	4783	18075	13071	2660	8929	8433	15900	10530	11936	16802	7870	4819	6055	3247	1694	1107	1249	1067	630	
"Solomon Islands"	0	0	0	0	0	1	0	0	0	0	0	0	0	52	67	77	176	122	51	510	
"Madagascar"	20	2	174	11	177	17	17	12	32	251	505	2150	2056	252	851	407	736	700	723	508	
"Nigeria"	8236	2	62	274	21248	242	40780	452	525	460	467	401	137	70	84	208	74	10651	456	491	
"Moldova, Republic of"	122	42	0	834	14	12	11	20	47	43	48	42	178	207	92	450	1631	2741	1355	422	
"Belize"	2	5	109	0	4	0	6566	12	36	10	19	4	170	24	228	2	156	204	488	404	
"Macedonia, North"	9	0	0	22	11	2	191	1021	14	43	252	359	456	115	412	363	81	154	229	338	
"Macao, China"	318	138	86	169	98	134	173	1673	1091	222	107	48	263	146	17	106	63	18	26	328	
"Mauritius"	30	56	66	79	137	121	205	200	185	180	2501	876	1236	729	1112	369	848	687	734	266	
"Uzbekistan"	0	8	16	607	107	84	114	42	0	0	0	1095	801	1293	612	2903	1721	924	130	251	
"Brunei Darussalam"	81	1	0	16	31	7	1	1	22	12	36	5	1	5	1	20	8	67	1	239	
"New Caledonia"	0	0	9	80	0	2	10	2	6	0	134	95	4	25	0	0	0	11	26	205	
"Cameroon"	5	40	2	6	0	64	13	8	35	24	178	353	347	216	35	13	59	1347	108	198	
"Albania"	91	23	3	146	406	943	584	421	1017	1582	1017	346	555	471	516	437	248	478	277	189	
"Lebanon"	418	481	272	110	65	69	250	162	343	399	965	1309	593	1810	714	1129	576	515	703	188	
"Andorra"	17	2	0	1654	2	56	90	231	0	14	186	13	205	159	521	552	755	609	474	172	
